Cycle,Capacity(Ah),Voltage Measured(V),Current Measured,Temperature Measured,Time Measured(Sec),SampleId
0,1.85648742081816,3.2771699768252,-0.00652835125160699,34.230852841541,3690.234,B0005
0,2.0353375910056,2.47576775682819,-2.00943589187254,39.1629865323871,3690.234,B0006
0,1.89105229539079,3.06211270908568,-0.00143329876408607,37.3384784889293,3690.234,B0007
0,1.85500452079108,3.05323033944433,-0.00243341458390145,37.2056712984427,3434.891,B0018
1,1.84632724971993,3.30024488712225,-0.000447552579117187,34.3921365871887,3672.344,B0005
1,2.02514024603141,2.35152551190002,-2.01037485552297,39.2462026826329,3672.344,B0006
1,1.88063702768686,3.07922623823352,-0.00323038524139762,37.1617386014679,3672.344,B0007
1,1.843195531709,3.08820017012583,-0.000910647531236055,37.1554752249802,3425.485,B0018
2,1.83534919422341,3.32745100986863,0.0010260185593644,34.2327787157633,3651.641,B0005
2,2.01332637134546,2.44047971510654,-2.00855888711011,38.9992024602528,3651.641,B0006
2,1.88066267170114,3.06326554709686,-0.00315778287984916,37.5081000406562,3651.641,B0007
2,1.83960184243554,3.07685765434417,-0.000684881162679047,36.680851926163,3410.375,B0018
3,1.83526252758211,3.31418185890703,-0.00223362169585047,34.4134499526055,3631.563,B0005
3,2.01328466554074,2.47915585390039,-2.00929044786225,38.8436277718665,3631.563,B0006
3,1.88077090098334,3.0394209081813,-0.00342151788695895,37.8554050883701,3631.563,B0007
3,1.83067360449621,3.10242391025241,-0.00254720008102984,36.0448704715734,3404.719,B0018
4,1.83464550821204,3.30549673128648,9.23722841023375E-06,34.3458849899787,3629.172,B0005
4,2.00052833762477,2.28018784817344,-2.01176084022006,38.9779888825828,3629.172,B0006
4,1.87945087282851,3.04316717775237,-0.00235508973779645,37.8358704694174,3629.172,B0007
4,1.83270020694197,3.11764417442005,-0.00300215535644927,37.0845967650194,3417.641,B0018
5,1.83566166006755,3.30232911297376,-0.00396723011155565,34.2009269210059,3652.281,B0005
5,2.01389907599316,2.43928425684664,-2.01094704522476,38.8398992074228,3652.281,B0006
5,1.88070035171174,3.12338798232876,-0.00252412948324405,36.6806029473261,3652.281,B0007
5,1.82852888460464,3.11400731873207,-0.00124778653176086,37.0533112936126,3411.766,B0018
